I,Hate,Donald,Trump,negative,,,,,,,,,,,,,,,,,,,,,,
I,Love,Donald,Trump,positive,,,,,,,,,,,,,,,,,,,,,,
@realDonaldTrump,"Grab,em,by,the,pussy",as,trump,says.,neutral,,,,,,,,,,,,,,,,,,,,,
//,,,,,,,,,,,,,,,,,,,,,,,,,,
In,a,challenge,to,|Trump,|,U.S.,intelligence,targets,Russia,negative,,,,,,,,,,,,,,,,
//,,,,,,,,,,,,,,,,,,,,,,,,,,
Did,he,ask,if,he,could,do,his,SOTU,in,Pyongyang?,neutral,,,,,,,,,,,,,,,
//,,,,,,,,,,,,,,,,,,,,,,,,,,
We,need,to,stop,lying,to,kids,about,Donald,Trump,neutral,,,,,,,,,,,,,,,,
//,,,,,,,,,,,,,,,,,,,,,,,,,,
Escort,who,claimed,Trump,secrets,'committed,no,crimes':,lawyer,positive,,,,,,,,,,,,,,,,,
//,,,,,,,,,,,,,,,,,,,,,,,,,,
@jguaido,|Venezolano????,neutral,,,,,,,,,,,,,,,,,,,,,,,,
Pues|,a,pagarle,el,muro,a,Trump,neutral,,,,,,,,,,,,,,,,,,,
//,,,,,,,,,,,,,,,,,,,,,,,,,,
Laugh,my,ass,off.,Thanks,leeleeb50,neutral,,,,,,,,,,,,,,,,,,,,
//,,,,,,,,,,,,,,,,,,,,,,,,,,
Pelosi,|1,neutral,,,,,,,,,,,,,,,,,,,,,,,,
Trump|,0,neutral,,,,,,,,,,,,,,,,,,,,,,,,
//,,,,,,,,,,,,,,,,,,,,,,,,,,
It,only,shows,how,ignorant,and,one,sided,the,media,is,nowadays!!,Incredible...,neutral,,,,,,,,,,,,,
//,,,,,,,,,,,,,,,,,,,,,,,,,,
https://t.co/kxkrEhhATi,For,the,non-believers,neutral,,,,,,,,,,,,,,,,,,,,,,
//,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern,border?,Campaign,arena?,Pick,an,alternative,venue,for,Trump's,State,of,the,Union,via,https://t.co/oorZ8KDTlM,neutral,,,,,,,,,,
//,,,,,,,,,,,,,,,,,,,,,,,,,,
US,shutdown:,Trump,delays,State,of,the,Union,address,negative,,,,,,,,,,,,,,,,,
//,,,,,,,,,,,,,,,,,,,,,,,,,,
Trump,Recognizes,New,Leader,for,Venezuela,in,Effort,to,Oust,'Illegitimate',Dictator,Maduro,positive,,,,,,,,,,,,,
//,,,,,,,,,,,,,,,,,,,,,,,,,,
Report:,Donald,Trump,Meeting,Covington,Catholic,Students,At,The,White,House,positive,,,,,,,,,,,,,,,
//,,,,,,,,,,,,,,,,,,,,,,,,,,
@realDonaldTrump,I,will,not,be,kind,to,Trump,you,mean.,negative,,,,,,,,,,,,,,,,
//,,,,,,,,,,,,,,,,,,,,,,,,,,
New,book,paints,Kellyanne,Conway,as,White,House,|leaker,neutral,,,,,,,,,,,,,,,,,
//,,,,,,,,,,,,,,,,,,,,,,,,,,
https://t.co/eOiwte5jkf|,neutral,,,,,,,,,,,,,,,,,,,,,,,,,
//,,,,,,,,,,,,,,,,,,,,,,,,,,
I,liked,a,https://t.co/CuCI5k2jNt,'You,ARE,Talking,About,HIM,Like,a,KING!':,Panel,CLOBBERS,Trump's,Useful,Clown,Steve,negative,,,,,,,,
//,,,,,,,,,,,,,,,,,,,,,,,,,,
